"Quintex85","Exit|Fast|Running|Stable|V2Dir|Valid","us","199.249.230.174","443",true,"tor85.quintex.com"
"puppetshow","Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","us","131.153.152.170","443",true,"NULL"
"Cadelanne","Fast|Running|V2Dir|Valid","us","173.52.95.63","9004",true,"pool-173-52-95-63.nycmny.fios.verizon.net"
"IBDUUIBAD","Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","de","212.227.74.176","9001",true,"ip212-227-74-176.pbiaas.com"
"NTH20R3","Exit|Fast|Running|Stable|Valid","nl","192.42.116.217","9002",true,"20.tor-exit.nothingtohide.nl"
"DigiGesTor1e1","Exit|Fast|Guard|Running|Stable|V2Dir|Valid","ch","185.195.71.244","443",true,"NULL"
"motauri","Exit|Fast|Guard|Running|Stable|V2Dir|Valid","se","95.143.193.125","443",true,"NULL"
"Silverstar","Fast|Running|Valid","de","31.214.243.30","443",false,"NULL"
"bang1","Fast|HSDir|Running|Stable|V2Dir|Valid","us","134.209.159.74","443",true,"NULL"
"relayon0153","Exit|Fast|Running|Stable|Valid","de","185.220.101.153","10153",true,"NULL"
"b0rken","Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","de","45.129.182.225","443",true,"tor.b0rken.de"
"ThePearl","Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","de","37.114.35.73","9001",true,"NULL"
"cozybeardev","Exit|Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","ru","5.42.66.6","443",true,"NULL"
"bauruine","Exit|Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","nl","78.142.18.219","444",true,"hostslick02-tor-exit.tuxli.org"
"idideditheconfig","Fast|HSDir|Running|Stable|V2Dir|Valid","de","88.150.106.18","9001",true,"port-ip-88-150-106-18.reverse.mdcc-fun.de"
"prsv","Exit|Fast|Guard|Running|Stable|V2Dir|Valid","ro","2.57.122.246","9300",true,"NULL"
"insist","Fast|Running|V2Dir|Valid","se","31.44.229.225","993",true,"NULL"
"marsmellow","Fast|Running|Stable|Valid","us","20.224.145.181","443",true,"NULL"
"BoingRelay","Fast|Running|Stable|V2Dir|Valid","us","198.210.84.159","16547",false,"NULL"
"Enlil","Fast|Guard|Running|Stable|V2Dir|Valid","gb","195.20.255.173","443",true,"ip195-20-255-173.pbiaas.com"
"ForetNoire","Fast|HSDir|Running|Stable|V2Dir|Valid","fr","5.135.182.131","9001",true,"backup.spekadyon.org"
"Bigdaddy","Fast|Running|Stable|Valid","gb","185.21.217.32","10042",true,"NULL"
"roomformushroom","Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","ca","144.217.32.158","9001",true,"ip158.ip-144-217-32.net"
"PyotrTorpotkinTwo","Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","ca","142.44.243.133","9001",true,"chat.nullvoid.me"
"bauruine","Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","ru","45.136.244.187","443",true,"NULL"
"RDPdotSH","Fast|Running|Stable|V2Dir|Valid","de","45.94.31.26","9000",true,"NULL"
"root1Moh","Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","de","89.58.34.53","9001",true,"v2202202167805178136.megasrv.de"
"DFRI27","Exit|Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","se","171.25.193.78","444",true,"NULL"
"island","Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","il","109.207.77.201","443",true,"NULL"
"RS1Lselectel","Fast|Guard|Running|Stable|V2Dir|Valid","ru","92.42.14.204","9001",true,"NULL"
"TORNODE","Fast|Running|V2Dir|Valid","gb","146.200.248.179","9001",true,"179.248.200.146.dyn.plus.net"
"0x90","Fast|Running|V2Dir|Valid","de","144.76.43.199","9001",true,"static.199.43.76.144.clients.your-server.de"
"tor103IPConnectINFO","Fast|Guard|Running|Stable|V2Dir|Valid","eu","194.147.140.103","143",true,"tor103.ip-connect.info"
"GrmmlDag","Fast|Running|V2Dir|Valid","de","213.239.215.221","9001",true,"dag.grmml.net"
"Indra","Fast|Guard|Running|Stable|V2Dir|Valid","fr","212.227.26.44","443",true,"ip212-227-26-44.pbiaas.com"
"Kupala","Fast|Guard|Running|Stable|V2Dir|Valid","de","85.215.236.160","443",true,"ip85-215-236-160.pbiaas.com"
"Jormungandr","Fast|Guard|Running|Stable|V2Dir|Valid","us","74.208.221.189","443",true,"ip74-208-221-189.pbiaas.com"
"c0der","Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","fi","95.216.20.80","8080",true,"static.80.20.216.95.clients.your-server.de"
"rome2","Exit|Fast|Running|Stable|V2Dir|Valid","ro","185.146.232.243","9001",true,"NULL"
"bzyz","Fast|Running|V2Dir|Valid","ca","70.51.108.149","9001",false,"bras-base-brklon9707w-grc-02-70-51-108-149.dsl.bell.ca"
"howlin","Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","us","45.141.153.214","443",true,"NULL"
"prsv","Fast|Guard|Running|Stable|V2Dir|Valid","fr","45.158.77.29","9200",true,"hms1.prsv.ch"
"Assange029us","Fast|Running|Stable|Valid","us","74.48.220.106","9001",true,"NULL"
"middleIsenguard","Fast|HSDir|Running|Stable|V2Dir|Valid","it","82.56.173.251","10101",true,"host-82-56-173-251.retail.telecomitalia.it"
"danon","Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","fr","57.128.174.82","3333",true,"vps-6b927ae9.vps.ovh.net"
"TheBuckeyeNetwork","Fast|Running|Stable|V2Dir|Valid","us","174.96.88.128","9001",true,"174-096-088-128.res.spectrum.com"
"HeimdallGuardRelay","Fast|Running|Valid","de","185.248.140.14","443",false,"NULL"
"b8zsRelay1","Running|V2Dir|Valid","us","66.41.17.62","9001",true,"c-66-41-17-62.hsd1.mn.comcast.net"
"WatterFall","Fast|Running|Valid","bg","87.121.52.112","9001",true,"NULL"
"zagreus","Fast|HSDir|Running|Stable|V2Dir|Valid","de","81.169.222.158","9001",true,"stumpf.co"
"Digitalcourage4ipeb","Exit|Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","de","185.220.102.244","993",true,"NULL"
"Kanellos","Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","de","146.0.36.87","9007",true,"f589.fuchsia.servdiscount-customer.com"
"wolfcastle7","Fast|Running|Valid","us","70.34.254.129","443",true,"NULL"
"changeme","Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","de","157.90.77.166","9001",true,"static.166.77.90.157.clients.your-server.de"
"LV426","Fast|Running|Stable|V2Dir|Valid","se","141.147.54.226","9001",true,"NULL"
"onionDAOrel0aded1","Exit|Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","nl","5.2.79.190","9001",true,"NULL"
"Bastet","Fast|Guard|Running|Stable|V2Dir|Valid","de","87.106.159.128","443",true,"ip87-106-159-128.pbiaas.com"
"0x67726579","Fast|Guard|Running|Stable|V2Dir|Valid","de","89.58.60.208","9001",true,"netcup.grey.pw"
"Shado","Fast|Running|Stable|Valid","us","152.70.140.84","9001",true,"NULL"
"Rudra","Fast|Guard|Running|Stable|V2Dir|Valid","fr","212.227.26.38","443",true,"ip212-227-26-38.pbiaas.com"
"KhonNharBak","Exit|Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","us","172.81.131.84","443",true,"NULL"
"kykeon","Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","gr","45.92.33.62","9000",true,"NULL"
"Fearless2","Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","fr","178.170.10.39","9001",true,"NULL"
"Namtar","Fast|Guard|Running|Stable|V2Dir|Valid","gb","195.20.255.170","443",true,"ip195-20-255-170.pbiaas.com"
"8412034103780237","Exit|Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","us","209.141.37.94","9001",true,"NULL"
"bauruine","Fast|Running|V2Dir|Valid","ch","83.78.216.89","30003",true,"89.216.78.83.dynamic.wline.res.cust.swisscom.ch"
"tortellini","Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","us","72.89.51.17","9001",true,"pool-72-89-51-17.nycmny.fios.verizon.net"
"Quetzalcoatl","Exit|Fast|Guard|Running|Stable|V2Dir|Valid","pl","45.141.215.97","7430",true,"NULL"
"NTH27R2","Exit|Fast|Running|Stable|Valid","nl","192.42.116.179","9001",true,"27.tor-exit.nothingtohide.nl"
"gclu","Fast|Running|V2Dir|Valid","lu","45.80.209.165","443",true,"lu-01.rexum.space"
"Mdfsdfsdf","Running|V2Dir|Valid","de","185.94.166.61","9001",true,"NULL"
"Basil","Fast|Running|Stable|V2Dir|Valid","ch","145.40.203.242","9001",true,"242.203.40.145.ftth.as8758.net"
"TORpid","Fast|Running|V2Dir|Valid","gb","77.68.100.112","25128",true,"NULL"
"ElDavo","Fast|Running|V2Dir|Valid","it","87.18.46.54","443",true,"host-87-18-46-54.retail.telecomitalia.it"
"Zilith","Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","nl","2.58.56.92","443",true,"NULL"
"TorUk2","Fast|Running|Valid","gb","80.64.218.59","443",true,"NULL"
"syndicateguys","Exit|Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","is","93.95.225.141","9001",true,"maxim.torexit.syndicateguys.com"
"ResetTheWorld","Exit|Fast|Running|Stable|Valid","is","89.147.110.154","9002",true,"tor.resetthe.world"
"hogman9","Exit|Fast|Running|Stable|Valid","us","23.137.249.227","443",true,"NULL"
"klesun","Running|V2Dir|Valid","lv","83.99.164.53","19005",false,"balticom-164-53.balticom.lv"
"alibabash","Fast|Guard|Running|Stable|V2Dir|Valid","fr","109.223.63.239","9001",true,"abordeaux-653-1-435-239.w109-223.abo.wanadoo.fr"
"Quetzalcoatl","Exit|Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","us","193.26.115.61","8430",true,"NULL"
"cozybeardev","Exit|Fast|Guard|Running|Stable|V2Dir|Valid","ru","77.91.86.95","443",true,"tor.node8.shadowbrokers.eu"
"Nobby","Fast|Running|V2Dir|Valid","nl","149.210.164.228","12707",true,"149-210-164-228.colo.transip.net"
"Quetzalcoatl","Exit|Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","lu","107.189.8.226","9000",true,"NULL"
"LikeMoneroPayment","Fast|Running|Stable|Valid","il","77.91.74.149","636",true,"NULL"
"TORKeFFORG9","Exit|Fast|Guard|Running|Stable|V2Dir|Valid","se","193.189.100.202","443",true,"NULL"
"hong","Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","sg","209.58.180.236","9001",true,"NULL"
"SLOG","Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","in","5.154.174.241","443",true,"NULL"
"dike","Fast|Guard|Running|Stable|V2Dir|Valid","de","37.120.171.188","443",true,"dike.tor.rndsh.it"
"s5p2jplinode","Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","us","139.162.86.33","5671",true,"139-162-86-33.ip.linodeusercontent.com"
"wyug755hfse","Fast|Running|V2Dir|Valid","ru","195.133.52.159","8081",false,"NULL"
"CCCStuttgartBer","Exit|Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","de","185.220.101.78","9000",true,"NULL"
"bauruine","Exit|Fast|Guard|Running|Stable|V2Dir|Valid","no","185.243.218.89","8443",true,"NULL"
"turnt","Exit|Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","is","82.221.131.71","443",true,"NULL"
"ry4an","Fast|Running|Stable|Valid","us","45.79.159.52","9001",true,"four.ry4an.org"
"noury","Exit|Fast|Running|V2Dir|Valid","nl","45.154.98.102","9001",true,"tor-exit-readme-nl1.noury.ee"
"psychopomp7","Exit|Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","us","185.220.103.114","443",true,"NULL"
"TLCOnion","Exit|Fast|HSDir|Running|Stable|V2Dir|Valid","us","96.66.15.152","9001",true,"96-66-15-152-static.hfc.comcastbusiness.net"
"prsv","Fast|Guard|Running|Stable|V2Dir|Valid","ro","2.57.122.179","9300",true,"NULL"
"RelayUli","Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","de","89.58.55.205","9001",true,"v2202306151176232082.megasrv.de"
"snakeskin","Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","ua","46.148.26.44","9001",true,"NULL"
"Totonicapanp6","Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","fr","163.172.76.56","9001",true,"p6.makarevitch.org"
"929oi1u23jd987j","Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","de","85.215.91.150","9001",true,"h2927224.stratoserver.net"
"Ichotolot61","Fast|Running|Stable|V2Dir|Valid","de","81.7.10.193","993",true,"NULL"
"server001","Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","md","185.163.45.212","443",true,"NULL"
"lewandowsky","Fast|HSDir|Running|Stable|V2Dir|Valid","pl","185.104.194.129","443",true,"NULL"
"rob2","Exit|Fast|Running|Stable|Valid","at","109.70.100.6","9000",true,"tor-exit-anonymizer.appliedprivacy.net"
"blackfox","Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","de","136.243.3.194","8000",true,"static.194.3.243.136.clients.your-server.de"
"lokit10","Exit|Fast|Running|V2Dir|Valid","ee","77.72.85.30","9001",true,"NULL"
"magrateaNode","Fast|Running|V2Dir|Valid","de","91.42.210.87","9001",false,"p5b2ad257.dip0.t-ipconnect.de"
"itzme","Running|Stable|V2Dir|Valid","us","198.74.57.57","443",true,"li546-57.members.linode.com"
"Wildtwister","Fast|Running|Stable|V2Dir|Valid","lv","94.100.6.72","443",true,"NULL"
"4pyro2eu3org0","Fast|HSDir|Running|Stable|V2Dir|Valid","gb","217.155.40.118","9001",true,"guisborough-1.rcc.uk.cluster.ok24.net"
"Janky380201","Fast|Guard|Running|Stable|V2Dir|Valid","fr","5.196.71.24","9001",true,"ns380201.janky.solutions"
"myinrelay","Fast|HSDir|Running|Stable|V2Dir|Valid","gb","144.24.147.235","9001",true,"NULL"
"RichardFeynman","Fast|HSDir|Running|Stable|V2Dir|Valid","de","159.69.71.58","9001",true,"hopper.rocketjump.eu"
"NTH20R4","Exit|Fast|Running|Stable|Valid","nl","192.42.116.217","9003",true,"20.tor-exit.nothingtohide.nl"
"stars1","Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","ca","158.69.204.36","443",true,"stars.usetor.wtf"
"red6","Fast|Running|Stable|V2Dir|Valid","br","177.104.142.225","443",true,"NULL"
"Kumquat","Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","us","207.244.78.230","443",true,"NULL"
"LunchBoxCanRelay","Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","ca","70.51.231.30","6700",true,"bras-base-hmtnon0107w-grc-23-70-51-231-30.dsl.bell.ca"
"QuintexAirVPN26","Exit|Fast|HSDir|Running|Stable|V2Dir|Valid","us","199.249.230.79","443",true,"tor26.quintex.com"
"AlGrothendieck3","Exit|Fast|Guard|Running|Stable|V2Dir|Valid","fr","80.67.172.162","4443",true,"algrothendieck.nos-oignons.net"
"Unnamed","Fast|Running|Valid","us","107.173.41.111","443",false,"NULL"
"ecuasterces","Fast|Guard|Running|Stable|V2Dir|Valid","us","66.175.235.244","443",true,"NULL"
"Unnamed","Fast|Running|Stable|V2Dir|Valid","it","82.53.16.234","8456",true,"host-82-53-16-234.retail.telecomitalia.it"
"arbertDelroth","Fast|Running|V2Dir|Valid","ch","77.109.152.87","143",true,"NULL"
"Unnamed","Fast|HSDir|Running|Stable|V2Dir|Valid","us","75.223.101.126","9001",true,"126.sub-75-223-101.myvzw.com"
"johnsrelay","Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","fi","95.216.22.87","4080",true,"static.87.22.216.95.clients.your-server.de"
"Lakshmi","Fast|Guard|Running|Stable|V2Dir|Valid","fr","212.227.26.53","443",true,"ip212-227-26-53.pbiaas.com"
"Polyphemus2","Exit|Fast|Guard|Running|Stable|V2Dir|Valid","lu","198.251.88.142","443",true,"polyphemus2.brandonkuschel.com"
"vovis","Fast|Running|Stable|V2Dir|Valid","br","201.80.165.184","9002",true,"NULL"
"AboriginalIdentity","Fast|Running|Stable|Valid","au","3.25.173.25","443",true,"ec2-3-25-173-25.ap-southeast-2.compute.amazonaws.com"
"bauruine","Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","ch","185.229.90.81","443",true,"35766.hostserv.eu"
"DwayneElizondo","Fast|Running|V2Dir|Valid","us","64.24.123.23","9001",true,"NULL"
"LAGARGOUILLEVIF","Fast|HSDir|Running|Stable|V2Dir|Valid","ch","190.211.254.210","9001",true,"NULL"
"Zwiebelmett","Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","fi","95.217.62.4","9001",true,"zwiebelmett.xyz"
"ForPrivacyNET","Exit|Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","de","185.220.101.51","10051",true,"tor-exit-51.for-privacy.net"
"kaos","Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","se","98.128.175.69","443",true,"h-98-128-175-69.A785.priv.bahnhof.se"
"hviv117","Exit|Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","nl","192.42.116.17","443",false,"this-is-a-tor-exit-node-hviv117.hviv.nl"
"ZwiebelRouter04","Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","es","82.223.165.239","443",true,"34c90d0.online-server.cloud"
"Scarab","Fast|HSDir|Running|Stable|V2Dir|Valid","md","146.19.213.39","443",true,"NULL"
"DonaldStrato","Fast|HSDir|Running|Stable|V2Dir|Valid","de","81.169.237.83","443",false,"h2993551.stratoserver.net"
"HackerBobRelay","Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","de","85.214.49.28","443",true,"h1641488.stratoserver.net"
"reallyniceplace","Fast|Guard|Running|Stable|V2Dir|Valid","ua","193.218.118.180","9001",true,"NULL"
"NTH9R3","Exit|Fast|Running|Stable|Valid","nl","192.42.116.199","9002",true,"9.tor-exit.nothingtohide.nl"
"vaseline","Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","ca","209.35.35.155","9001",true,"NULL"
"Spellbound","Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","md","85.239.34.24","9001",true,"NULL"
"takei","Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","ee","46.22.212.230","443",true,"NULL"
"rofltor08","Fast|Running|Stable|Valid","fi","95.216.136.46","9001",true,"tor-relay8.rofl.cat"
"TorOnionsAreGreat","Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","lv","213.175.95.220","443",true,"NULL"
"dorinne","Fast|HSDir|Running|Stable|V2Dir|Valid","kg","91.213.233.138","443",true,"NULL"
"SuckBankMoney","Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","fi","185.148.1.169","443",true,"NULL"
"artikel10ber57","Exit|Fast|Running|Stable|Valid","de","185.220.101.15","9001",true,"berlin01.tor-exit.artikel10.org"
"adhoczone","Fast|Running|Stable|Valid","bg","185.206.146.238","9001",true,"code.adhoc.zone"
"AccessNow007","Exit|Fast|HSDir|Running|Stable|V2Dir|Valid","ch","185.195.71.9","443",true,"NULL"
"torexitbsd2","Exit|Fast|Running|Stable|V2Dir|Valid","ch","45.9.150.130","9001",true,"NULL"
"MOTHERFUCKER","Exit|Fast|Running|Stable|V2Dir|Valid","sg","194.233.74.31","443",true,"tor-exit-router-a28.quido.org"
"Kyavik","Running|Stable|Valid","is","89.147.110.36","9001",true,"NULL"
"RelayChu","Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","us","150.230.20.28","9001",true,"NULL"
"creepychris","Fast|Guard|Running|Stable|V2Dir|Valid","bg","5.181.80.63","9001",true,"NULL"
"relayon1185","Fast|HSDir|Running|Stable|V2Dir|Valid","de","185.220.101.185","11185",true,"NULL"
"RDPdotSH","Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","pl","45.141.215.85","9000",true,"NULL"
"Unnamed","Running|Stable|V2Dir|Valid","nl","109.236.83.11","46810",true,"NULL"
"IgicaOne","Fast|Guard|Running|Stable|V2Dir|Valid","lu","107.189.10.138","9001",true,"NULL"
"RDPdotSH","Fast|Guard|Running|Stable|V2Dir|Valid","pl","185.241.208.163","110",true,"NULL"
"Torchier2","Fast|Running|V2Dir|Valid","us","205.185.113.66","443",true,"NULL"
"iS0pldW34","Fast|Running|V2Dir|Valid","ru","195.133.53.215","8081",false,"NULL"
"giulia","Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","se","141.147.117.168","9001",true,"NULL"
"marcuse2","Exit|Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","fr","178.20.55.16","9001",true,"marcuse.nos-oignons.net"
"rchzuege42derushasd","Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","de","185.196.21.125","9001",true,"raw.rubixdev.de"
"sonolbellsan","Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","jp","121.50.43.135","443",true,"NULL"
"Unnamed","Fast|Running|Stable|Valid","de","81.20.143.138","9001",true,"NULL"
"TORtuga","Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","de","144.76.86.5","8080",true,"static.5.86.76.144.clients.your-server.de"
"h3u60M7iPf","Fast|Running|V2Dir|Valid","de","195.52.56.97","9001",true,"NULL"
"electroncash","Fast|HSDir|Running|Stable|V2Dir|Valid","de","193.135.10.219","59999",true,"electroncash.de"
"toronto1","Fast|Running|Valid","us","192.18.159.101","9001",true,"NULL"
"Superfly","Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","jp","133.242.146.78","9001",true,"host.nozoe.jp"
"relayon0185","Exit|Fast|Running|Stable|Valid","de","185.220.101.185","10185",false,"NULL"
"relayon0142","Exit|Fast|Running|Stable|Valid","de","185.220.101.142","10142",true,"NULL"
"relayon0183","Exit|Fast|Running|Stable|Valid","de","185.220.101.183","10183",true,"NULL"
"RDPdotSH","Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","pl","185.241.208.170","110",true,"NULL"
"MoneroItsPrivate","Running|Stable|Valid","my","103.175.16.53","443",true,"NULL"
"HelpCensoredOnes","Exit|Fast|Guard|Running|Stable|V2Dir|Valid","lu","85.93.218.204","9001",true,"tor.localhost.lu"
"l1st3n","Fast|Guard|Running|Stable|V2Dir|Valid","fr","135.125.250.251","443",true,"NULL"
"bitcoin4freedom","Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","us","23.237.74.106","443",true,"NULL"
"prsv","Exit|Fast|Guard|Running|Stable|V2Dir|Valid","nl","45.128.232.170","9000",true,"pf8.prsv.ch"
"torrelay283747tor0","Fast|Running|Stable|V2Dir|Valid","us","107.4.254.44","8210",true,"c-107-4-254-44.hsd1.mn.comcast.net"
